0,0,0.999342
0.062832,0.062791,0.995398
0.125664,0.125333,0.987526
0.188496,0.187381,0.975756
0.251327,0.24869,0.960136
0.314159,0.309017,0.940726
0.376991,0.368125,0.917604
0.439823,0.425779,0.89086
0.502655,0.481754,0.8606
0.565487,0.535827,0.826945
0.628319,0.587785,0.790025
0.69115,0.637424,0.749988
0.753982,0.684547,0.70699
0.816814,0.728969,0.661203
0.879646,0.770513,0.612806
0.942478,0.809017,0.561991
1.00531,0.844328,0.508958
1.068141,0.876307,0.453916
1.130973,0.904827,0.397083
1.193805,0.929776,0.338682
1.256637,0.951057,0.278945
1.319469,0.968583,0.218107
1.382301,0.982287,0.156409
1.445133,0.992115,0.094093
1.507964,0.998027,0.031406
1.570796,1,-0.031406
1.633628,0.998027,-0.094093
1.69646,0.992115,-0.156409
1.759292,0.982287,-0.218107
1.822124,0.968583,-0.278945
1.884956,0.951057,-0.338682
1.947787,0.929776,-0.397083
2.010619,0.904827,-0.453916
2.073451,0.876307,-0.508958
2.136283,0.844328,-0.561991
2.199115,0.809017,-0.612806
2.261947,0.770513,-0.661203
2.324779,0.728969,-0.70699
2.38761,0.684547,-0.749988
2.450442,0.637424,-0.790025
2.513274,0.587785,-0.826945
2.576106,0.535827,-0.8606
2.638938,0.481754,-0.89086
2.70177,0.425779,-0.917604
2.764601,0.368125,-0.940726
2.827433,0.309017,-0.960136
2.890265,0.24869,-0.975756
2.953097,0.187381,-0.987526
3.015929,0.125333,-0.995398
3.078761,0.062791,-0.999342
3.141593,0,-0.999342
3.204424,-0.06279,-0.995398
3.267256,-0.125333,-0.987526
3.330088,-0.187381,-0.975756
3.39292,-0.24869,-0.960136
3.455752,-0.309017,-0.940726
3.518584,-0.368124,-0.917604
3.581416,-0.425779,-0.89086
3.644247,-0.481754,-0.8606
3.707079,-0.535827,-0.826945
3.769911,-0.587785,-0.790025
3.832743,-0.637424,-0.749988
3.895575,-0.684547,-0.706991
3.958407,-0.728969,-0.661203
4.021239,-0.770513,-0.612806
4.08407,-0.809017,-0.561991
4.146902,-0.844328,-0.508958
4.209734,-0.876307,-0.453916
4.272566,-0.904827,-0.397083
4.335398,-0.929776,-0.338682
4.39823,-0.951056,-0.278945
4.461061,-0.968583,-0.218107
4.523893,-0.982287,-0.156409
4.586725,-0.992115,-0.094093
4.649557,-0.998027,-0.031406
4.712389,-1,0.031406
4.775221,-0.998027,0.094093
4.838053,-0.992115,0.156409
4.900884,-0.982287,0.218107
4.963716,-0.968583,0.278945
5.026548,-0.951057,0.338682
5.08938,-0.929777,0.397082
5.152212,-0.904827,0.453916
5.215044,-0.876307,0.508958
5.277876,-0.844328,0.561991
5.340707,-0.809017,0.612806
5.403539,-0.770513,0.661203
5.466371,-0.728969,0.70699
5.529203,-0.684547,0.749988
5.592035,-0.637424,0.790025
5.654867,-0.587785,0.826944
5.717699,-0.535827,0.8606
5.78053,-0.481754,0.89086
5.843362,-0.425779,0.917604
5.906194,-0.368125,0.940726
5.969026,-0.309017,0.960136
6.031858,-0.24869,0.975756
6.09469,-0.187381,0.987526
6.157521,-0.125333,0.995398
6.220353,-0.062791,0.999342
6.283185,0,0.999342
